S	M	T	W	R	F	S
0	2	0	2	1	1	0	
0	1	1	0	1	0	0	
0	1	2	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	13	23	16	20	4	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	2	4	2	1	1	0	
0	2	6	2	1	1	0	
0	1	1	0	3	2	0	
0	1	4	4	0	2	0	
0	1	4	0	1	0	0	
0	1	1	0	1	0	0	
0	2	0	0	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	10	21	8	7	6	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	3	0	1	2	0	0	
0	1	2	1	1	0	0	
0	1	1	1	3	0	0	
0	1	2	2	0	0	0	
0	1	1	0	0	0	0	
0	0	1	0	0	0	0	
0	3	0	0	0	0	0	
0	0	0	0	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	10	7	5	7	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	3	0	0	
0	0	2	6	3	0	0	
0	0	1	2	0	0	0	
0	0	1	2	0	0	0	
0	1	0	2	0	0	0	
0	0	1	2	2	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	1	5	14	8	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	3	0	0	0	
0	0	0	0	1	0	0	
0	0	1	1	0	0	0	
0	0	2	2	0	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	4	6	1	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	4	0	2	0	0	
0	0	1	3	2	0	0	
0	3	0	1	3	0	0	
0	0	6	4	2	0	0	
0	3	3	0	0	10	0	
0	1	1	0	0	0	0	
0	0	0	2	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	1	0	0	1	0	0	
0	0	1	0	0	0	0	
0	0	0	0	0	0	0	
0	8	16	10	10	10	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	2	0	4	0	0	
0	0	3	0	2	0	0	
0	0	4	0	0	0	0	
0	1	1	2	1	1	0	
0	1	6	0	3	0	0	
0	1	1	3	1	1	0	
0	0	2	0	0	0	0	
0	1	1	4	0	0	0	
0	1	1	1	4	0	0	
0	0	0	0	0	0	0	
0	2	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	7	21	10	15	2	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	0	1	0	
0	0	0	0	1	0	0	
0	0	0	1	3	0	0	
0	0	0	2	3	0	0	
0	0	1	6	2	0	0	
0	0	1	0	1	4	0	
0	0	1	0	1	7	0	
0	0	2	2	0	0	0	
0	0	5	1	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	10	12	12	12	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	3	2	0	1	0	0	
0	1	7	0	0	0	0	
0	2	2	4	0	0	0	
0	4	6	3	1	0	0	
0	4	1	3	1	0	0	
0	2	1	2	0	0	0	
0	7	0	5	1	0	0	
0	0	3	0	1	0	0	
0	1	0	1	1	0	0	
0	0	0	0	0	0	0	
0	1	1	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	25	23	18	6	0	0	

S	M	T	W	R	F	S
0	0	0	0	0	0	0	
0	0	0	0	4	2	0	
0	0	9	2	2	0	0	
0	0	3	1	2	1	0	
0	0	2	2	5	0	0	
0	0	3	1	1	0	0	
0	0	0	5	1	0	0	
0	0	2	0	2	0	0	
0	0	0	1	0	0	0	
0	0	1	1	1	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	0	0	0	0	0	
0	0	20	13	18	3	0	

S	M	T	W	R	F	S
0	0	2	0	0	0	0	
0	1	4	2	2	1	0	
0	0	5	1	3	2	0	
0	2	4	3	0	0	0	
0	4	2	3	5	2	0	
0	1	4	1	2	0	0	
0	3	3	4	2	6	0	
0	1	3	6	2	4	0	
0	0	0	2	1	0	0	
0	2	0	0	0	0	0	
0	0	2	0	2	0	0	
